index,lat,lon,ele,x,y,segment_length,dist_to_start
150,45.605550,9.285140,179.439972,310.500686,-1472.000559,26.908167,1504.392343
151,45.605790,9.285350,179.893417,326.851383,-1445.283759,31.323037,1481.781688
152,45.605900,9.285480,179.703079,336.973243,-1433.038559,15.887006,1472.124478
153,45.606120,9.285870,179.990936,367.338822,-1408.548159,39.010871,1455.659894
154,45.606070,9.286500,178.462997,416.390911,-1414.114159,49.366870,1474.143902
155,45.606000,9.286740,176.911484,435.077421,-1421.906559,20.246164,1486.980371
156,45.606360,9.287160,175.576691,467.778814,-1381.831359,51.724295,1458.860830
157,45.606610,9.287640,175.659210,505.151834,-1354.001359,46.596690,1445.163678
158,45.606660,9.288130,175.783844,543.303459,-1348.435359,38.555503,1453.773217
159,45.606760,9.288300,175.389893,556.539737,-1337.303359,17.295100,1448.487747
160,45.607500,9.289110,175.437088,619.606709,-1254.926559,103.746711,1399.554622
161,45.607660,9.288580,175.517899,578.340665,-1237.115359,44.945803,1365.625255
162,45.607850,9.287930,175.740082,527.731367,-1215.964559,54.851230,1325.545248
163,45.610200,9.288340,176.310364,559.654155,-954.362559,263.542541,1106.354675
164,45.611780,9.288640,176.533081,583.012293,-778.476959,177.429837,972.589178
165,45.613060,9.288860,176.597366,600.141594,-635.987359,143.515501,874.442596
166,45.613050,9.288650,180.170700,583.790897,-637.100559,16.388547,864.123217
167,45.612190,9.288410,180.067657,565.104387,-732.835759,97.541859,925.414079
168,45.611850,9.288270,179.529633,554.203923,-770.684559,39.387203,949.261122
169,45.611550,9.288080,179.643890,539.410436,-804.080559,36.525882,968.250568
170,45.611000,9.287590,180.016174,501.258811,-865.306559,72.139930,1000.007918
171,45.610430,9.286750,180.111023,435.856025,-928.758959,91.124812,1025.945261
172,45.610110,9.285830,180.510757,364.224403,-964.381359,80.000279,1030.868964
173,45.609950,9.285020,181.125854,301.157431,-982.192559,65.533822,1027.325665
174,45.609950,9.283990,181.941650,220.961159,-982.192559,80.196273,1006.740312
175,45.610120,9.282980,182.130341,142.322095,-963.268159,80.884085,973.725385
176,45.610210,9.282680,182.385345,118.963957,-953.249359,25.416116,960.643932
177,45.610610,9.281820,182.528030,52.003963,-908.721359,80.413828,910.208174
178,45.611140,9.281160,182.531494,0.616060,-849.721759,78.241098,849.721982
179,45.611750,9.280700,182.527893,-35.199751,-781.816559,76.771665,782.608557
180,45.611971,9.281340,181.762054,14.655951,-757.210905,55.597025,757.352726
181,45.611363,9.282681,182.227905,119.074963,-824.883000,124.430071,833.433147
182,45.611190,9.283682,182.391647,197.017540,-844.172294,80.293974,866.857989
183,45.611588,9.284305,182.507538,245.467962,-799.892803,65.636246,836.709637
184,45.615230,9.284880,183.111877,290.256967,-394.422959,407.936085,489.712750
185,45.616060,9.285000,183.784134,299.600222,-302.027359,92.866804,425.418404
186,45.615990,9.285940,184.457458,372.789054,-309.819759,73.602490,484.726687
187,45.615770,9.288990,184.838318,610.263453,-334.310159,238.733890,695.833863
188,45.617040,9.289340,185.445984,637.514614,-192.933759,143.978860,666.069305
189,45.617230,9.289380,186.477600,640.629032,-171.782959,21.378867,663.260840
190,45.621880,9.290190,186.587143,703.696004,345.855041,521.465763,784.094239
191,45.622700,9.290260,187.337250,709.146236,437.137441,91.444965,833.053136
192,45.623250,9.290190,187.879562,703.696004,498.363441,61.468106,862.295881
193,45.624080,9.289860,187.609726,678.002053,590.759041,95.901648,899.268051
